EXPERIMENT,BCAST_TYPE,NPROC,PACKET_SIZE,N_PACKETS,N_BOUNCES,TYPE,NODE,PROCESS,SRC,DST,TAG,COM_TIME,RUNNING_TIME
4, 0, 4, 10000,,,S, lab004-074, 0,,,, 0.0052249432,,
5, 0, 4, 10000,,,R, lab004-074, 1,,,, 0.0197930336,,
5, 0, 4, 10000,,,R, lab004-074, 2,,,, 0.0255889893,,
5, 0, 4, 10000,,,R, lab004-074, 3,,,, 0.0362379551,,
5, 0, 4, 10000,,,S, lab004-074, 0,,,, 0.0313129425,,
6, 0, 4, 10000,,,R, lab004-074, 1,,,, 0.0016820431,,
6, 0, 4, 10000,,,R, lab004-074, 2,,,, 0.0022840500,,
6, 0, 4, 10000,,,R, lab004-074, 3,,,, 0.0032742023,,
6, 0, 4, 10000,,,S, lab004-074, 0,,,, 0.0082819462,,
7, 0, 4, 10000,,,R, lab004-074, 1,,,, 0.0000770092,,
7, 0, 4, 10000,,,R, lab004-074, 2,,,, 0.0000579357,,
7, 0, 4, 10000,,,S, lab004-074, 0,,,, 0.0199520588,,
7, 0, 4, 10000,,,R, lab004-074, 3,,,, 0.0167860985,,
8, 0, 4, 10000,,,R, lab004-074, 1,,,, 0.0001900196,,
8, 0, 4, 10000,,,R, lab004-074, 2,,,, 0.0112268925,,
8, 0, 4, 10000,,,R, lab004-074, 3,,,, 0.0064961910,,
8, 0, 4, 10000,,,S, lab004-074, 0,,,, 0.0111827850,,
9, 0, 4, 10000,,,R, lab004-074, 1,,,, 0.0033831596,,
9, 0, 4, 10000,,,R, lab004-074, 2,,,, 0.0133359432,,
9, 0, 4, 10000,,,R, lab004-074, 3,,,, 0.0139350891,,
9, 0, 4, 10000,,,S, lab004-074, 0,,,, 0.0137310028,,
10, 0, 4, 10000,,,R, lab004-074, 1,,,, 0.0067639351,,
10, 0, 4, 10000,,,R, lab004-074, 2,,,, 0.0038578510,,
10, 0, 4, 10000,,,R, lab004-074, 3,,,, 0.0080850124,,
10, 0, 4, 10000,,,S, lab004-074, 0,,,, 0.0018649101,,
1, 0, 4, 1,,,R, lab004-074, 1,,,, 0.0011501312,,
1, 0, 4, 1,,,R, lab004-074, 3,,,, 0.0011019707,,
1, 0, 4, 1,,,S, lab004-074, 0,,,, 0.0008521080,,
1, 0, 4, 1,,,R, lab004-074, 2,,,, 0.0000190735,,
2, 0, 4, 1,,,S, lab004-074, 0,,,, 0.0004332066,,
2, 0, 4, 1,,,R, lab004-074, 3,,,, 0.0004501343,,
2, 0, 4, 1,,,R, lab004-074, 2,,,, 0.0000188351,,
2, 0, 4, 1,,,R, lab004-074, 1,,,, 0.0000171661,,
3, 0, 4, 1,,,S, lab004-074, 0,,,, 0.0003929138,,
3, 0, 4, 1,,,R, lab004-074, 2,,,, 0.0081491470,,
3, 0, 4, 1,,,R, lab004-074, 3,,,, 0.0079691410,,
3, 0, 4, 1,,,R, lab004-074, 1,,,, 0.0079891682,,
4, 0, 4, 1,,,S, lab004-074, 0,,,, 0.0003800392,,
4, 0, 4, 1,,,R, lab004-074, 2,,,, 0.0000219345,,
4, 0, 4, 1,,,R, lab004-074, 1,,,, 0.0103828907,,
4, 0, 4, 1,,,R, lab004-074, 3,,,, 0.0058691502,,
5, 0, 4, 1,,,S, lab004-074, 0,,,, 0.0014050007,,
5, 0, 4, 1,,,R, lab004-074, 2,,,, 0.0017220974,,
5, 0, 4, 1,,,R, lab004-074, 1,,,, 0.0016219616,,
5, 0, 4, 1,,,R, lab004-074, 3,,,, 0.0000288486,,
6, 0, 4, 1,,,S, lab004-074, 0,,,, 0.0003869534,,
6, 0, 4, 1,,,R, lab004-074, 3,,,, 0.0005331039,,
6, 0, 4, 1,,,R, lab004-074, 1,,,, 0.0000219345,,
6, 0, 4, 1,,,R, lab004-074, 2,,,, 0.0000171661,,
7, 0, 4, 1,,,S, lab004-074, 0,,,, 0.0003809929,,
7, 0, 4, 1,,,R, lab004-074, 2,,,, 0.0000231266,,
7, 0, 4, 1,,,R, lab004-074, 1,,,, 0.0000200272,,
7, 0, 4, 1,,,R, lab004-074, 3,,,, 0.0000169277,,
